充装单位,登记证编号,设备品种,单位内编号,产品编号,二维码号,制造单位,制造日期,钢瓶检验日期,钢瓶下次检验日期,压力表表号,厂家,压力值最小,压力值最大,压力表检验日期,压力表下次检验日期,安全阀检测日期,安全阀下次检验日期,容积(L),状态,皮重
无极县新拓能源开发有限公司,瓶32冀A02039(118),焊接气瓶,434,C20112A072,02546006024,江西华特电子化学品有限公司,2020-12-02,2026-03-09,2029-03-08,201245569,无锡凯丰,0,2.5,2026-03-09,2029-03-08,2026-03-14,2027-03-13,175,在用,110
无极县新拓能源开发有限公司,瓶32冀A02039(119),焊接气瓶,435,C20112A081,02546006026,江西华特电子化学品有限公司,2020-12-02,2026-03-09,2029-03-08,190539592,无锡凯丰,0,4,2026-03-09,2029-03-08,2026-03-14,2027-03-13,175,在用,110
无极县新拓能源开发有限公司,瓶32冀A02039(120),焊接气瓶,436,C20112A084,C20112A084,江西华特电子化学品有限公司,2020-12-02,2026-03-09,2029-03-08,190539609,无锡凯丰,0,4,2026-03-09,2029-03-08,2026-03-14,2027-03-13,175,在用,110
无极县新拓能源开发有限公司,瓶32冀A02039(121),焊接气瓶,437,C20112A088,02546006023,江西华特电子化学品有限公司,2020-12-02,2026-03-09,2029-03-08,190539519,无锡凯丰,0,4,2026-03-09,2029-03-08,2026-03-14,2027-03-13,175,在用,110
无极县新拓能源开发有限公司,瓶32冀A02039(122),焊接气瓶,438,C20112A090,C20112A090,江西华特电子化学品有限公司,2020-12-02,2026-03-09,2029-03-08,240319816,无锡凯丰,0,2.8,2026-03-09,2029-03-08,2026-03-14,2027-03-13,175,在用,110
无极县新拓能源开发有限公司,瓶32冀A02039(123),焊接气瓶,439,C20112A100,C20112A100,江西华特电子化学品有限公司,2020-12-02,2026-03-09,2029-03-08,201245673,无锡凯丰,0,2.5,2026-03-09,2029-03-08,2026-03-14,2027-03-13,175,在用,110
无极县新拓能源开发有限公司,瓶32冀A02039(124),焊接气瓶,440,C2108A005,02546006012,江西华特电子化学品有限公司,2021-01-20,2026-03-09,2029-03-08,200643410,无锡凯丰,0,2.5,2026-03-09,2029-03-08,2026-03-14,2027-03-13,175,在用,109
无极县新拓能源开发有限公司,瓶32冀A02039(125),焊接气瓶,441,C2108A061,02546006087,江西华特电子化学品有限公司,2021-01-20,2026-03-09,2029-03-08,190539666,无锡凯丰,0,4,2026-03-09,2029-03-08,2026-03-14,2027-03-13,175,在用,109
无极县新拓能源开发有限公司,瓶32冀A02039(126),焊接气瓶,442,C2108A062,02546006091,江西华特电子化学品有限公司,2021-01-20,2026-03-09,2029-03-08,190831102,无锡凯丰,0,2.8,2026-03-09,2029-03-08,2026-03-14,2027-03-13,175,在用,109
无极县新拓能源开发有限公司,瓶32冀A02039(127),焊接气瓶,443,C2108A063,C2108A063,江西华特电子化学品有限公司,2021-01-20,2026-03-09,2029-03-08,2101662,无锡凯丰,0,2.5,2026-03-09,2029-03-08,2026-03-14,2027-03-13,175,在用,109
无极县新拓能源开发有限公司,瓶32冀A02039(128),焊接气瓶,444,C2108A065,C2108A065,江西华特电子化学品有限公司,2021-01-20,2026-03-09,2029-03-08,190539515,无锡凯丰,0,4,2026-03-09,2029-03-08,2026-03-14,2027-03-13,175,在用,109
无极县新拓能源开发有限公司,瓶32冀A02039(129),焊接气瓶,445,C2108A071,C2108A071,江西华特电子化学品有限公司,2021-01-20,2026-03-09,2029-03-08,190539737,无锡凯丰,0,4,2026-03-09,2029-03-08,2026-03-14,2027-03-13,175,在用,110
无极县新拓能源开发有限公司,瓶32冀A02039(130),焊接气瓶,446,C2108A080,C2108A080,江西华特电子化学品有限公司,2021-01-20,2026-03-09,2029-03-08,191263446,无锡凯丰,0,2.8,2026-03-09,2029-03-08,2026-03-14,2027-03-13,175,在用,109
无极县新拓能源开发有限公司,瓶32冀A02039(131),焊接气瓶,447,C2108A082,C2108A082,江西华特电子化学品有限公司,2021-01-20,2026-03-09,2029-03-08,240120329,无锡凯丰,0,2.8,2026-03-09,2029-03-08,2026-03-14,2027-03-13,175,在用,109
无极县新拓能源开发有限公司,瓶32冀A02039(131),焊接气瓶,448,C2108A085,C2108A085,江西华特电子化学品有限公司,2021-01-20,2026-03-09,2029-03-08,190539809,无锡凯丰,0,4,2026-03-09,2029-03-08,2026-03-14,2027-03-13,175,在用,109
